idcategoria;procodigo
110;14596
28;17318
50;549
49;673
77;18341
49;1154
109;13804
50;2815
0;2812
50;2812
77;18420
50;3139
49;3327
49;3328
49;5023
49;5024
99;16643
28;18213
157;18213
157;16226
157;18341
76;16610
77;18321
66;12974
151;12974
28;18527
32;18527
99;18527
139;18527
59;1459
2;2815
110;632
73;8661
8;1174
8;17685
48;963
73;10783
50;2274
73;10928
73;11859
82;13804
73;12517
73;10446
32;18213
99;18213
73;13293
73;13294
90;16226
82;3548
109;3548
82;4671
109;4671
82;6322
109;6322
19;546
110;6314
46;329
82;3052
109;3052
39;17684
46;328
19;3381
73;15583
50;1391
47;1185
73;15584
48;3931
97;2798
90;17421
24;17421
90;16228
24;6617
24;16228
77;18425
90;16564
24;16564
90;18295
77;18426
82;13946
109;13946
90;18392
24;18392
90;18401
24;18401
90;18402
24;18402
77;18431
77;18432
24;18295
47;347
53;7989
56;7989
89;7989
95;7989
26;1454
66;1454
151;1454
77;18242
77;18243
0;586
32;16643
6;11227
90;18294
24;18294
157;18294
72;12222
59;4047
28;8906
99;8906
56;8906
138;8906
59;2848
82;16264
109;16264
77;16232
48;822
32;6388
90;18399
24;18399
110;2359
50;323
22;16531
157;16531
59;671
59;1143
24;14807
157;14807
6;13475
156;10934
46;2754
157;2754
2;10935
82;15692
109;15692
6;8394
46;12615
12;18763
27;16935
78;541
139;18213
24;16226
81;3951
82;2646
109;2646
