IDCategoria;Activo;Nombre;CategoriaPadre;Descripcion;MetaTitulo;MetaPalabrasClave;MetaDescripcion;URLAmigable;URLImagen;level_depth
1;1;Pc Escritorio;0;Computadoras de escritorio con tecnologia INTEL y AMD;;;;pc-escritorio;;2
2;1;Accesorios;0;;;;;accesorios;;2
3;1;Hardware;0;Discos, Grabadoras, Placas madres, Video, Memorias, Gabinetes, fuentes y otros;;hw,hardware;;hardware;;2
4;1;Portatiles y Moviles;0;Notebook, Netbook, Tablet PC, Celulares Smartfone y accesorios para notebooks;;;;portatiles-y-moviles;Portatiles2.jpg;2
5;1;Insumos;0;Libreria, CD, DVD, Bolsitas, Sobres de papel, Resmas, Papel Foto y Otros;;Libreria, CD, DVD, Bolsitas, sobres, papel foto;;insumos;;2
6;1;Cartuchos / Tintas / Cintas;0;;;;;cartuchos-tintas-cintas;;2
7;1;Camaras Digitales;130;;;;;camaras-digitales;;3
8;1;Parlantes;130;;;;;parlantes;;3
9;1;Conectividad y Redes;0;;;;;conectividad-y-redes;;2
10;1;Impresoras;140;;;;;impresoras;;3
11;1;Seguridad;0;;;;;seguridad;;2
12;1;Electronica;0;;;;;electronica;;2
13;1;GPS;0;;;;;gps;;2
14;1;Consolas de juegos;130;;;;;consolas-de-juegos;;3
15;1;Limpieza;0;;;;;limpieza;;2
16;1;Equipos Premium;1;;;;;equipos-premium;;3
17;1;Equipos Home Office;1;;;;;equipos-home-office;;3
18;1;Equipos Media Center;1;;;;;equipos-media-center;;3
19;1;Cables;2;;;;;cables;;3
20;1;Gabinetes;2;;;;;gabinetes;;3
21;1;Camaras Web;2;;;;;camaras-web;;3
22;1;Teclados;2;;;;;teclados;;3
23;1;Mouse y Pads;2;;;;;mouse-y-pads;;3
24;1;Auriculares;130;;;;;auriculares;;3
25;1;Reproductores de Audio y Video;130;;;;;reproductores-de-audio-y-video;;3
26;1;Pendrive / Memorias;2;;;;;pendrive-memorias;;3
27;1;Ventiladores y Disipadores;2;;;;;ventiladores-y-disipadores;;3
28;1;Cargadores / Pilas;2;;;;;cargadores-pilas;;3
29;1;Microfonos;130;;;;;microfonos;;3
30;1;Joystick;2;;;;;joystick;;3
31;1;Paneles Frontales;2;;;;;paneles-frontales;;3
32;1;Adaptadores;2;;;;;adaptadores;;3
33;1;Memorias;3;Memorias ddr/ddr2/ddr3, Micro SD, SD, Pendrive y otras;;;;memorias;;3
34;1;Tv y Monitores;130;;;;;tv-y-monitores;;3
35;1;Motherboards;3;;;;;motherboards;;3
36;1;Microprocesadores;3;;;;;microprocesadores;;3
37;1;Discos Rigidos;3;;;;;discos-rigidos;;3
38;1;Grabadora/Lectora CD/DVD;3;;;;;grabadora-lectora-cd-dvd;;3
39;1;Fuentes;3;;;;;fuentes;;3
40;1;Estabilizadores/UPS;3;;;;;estabilizadores-ups;;3
41;1;Placas de Video;3;;;;;placas-de-video;;3
42;1;Placas sintonizadoras y Capturadoras;130;;;;;placas-sintonizadoras-y-capturadoras;;3
43;1;Capturadoras;3;;;;;capturadoras;;3
44;1;Placas de sonido;130;;;;;placas-de-sonido;;3
45;1;Lectores de tarjetas;2;;;;;lectores-de-tarjetas;;3
46;1;Papeleria y Libreria;5;resmas, papel fotografico, laminados e insumos para libreria en general;;;;papeleria-y-libreria;;3
47;1;Sobres;5;;;;;sobres;;3
48;1;Cajas CD/DVD;5;;;;;cajas-cd-dvd;;3
49;1;CD Virgen;5;;;;;cd-virgen;;3
50;1;DVD Virgen;5;;;;;dvd-virgen;;3
51;1;Muebles;0;;;;;muebles;;2
52;0;Celulares;2;;;;;celulares;;3
53;1;Bolsos y Fundas;2;;;;;;;
<P>Notebook, Netbook, Tablets, GPS, Celulares, Discos Rigidos</P>;;;;bolsos-y-fundas;;3;;;;
54;1;GAMERS;0;;;;;gamers;;2
55;1;Soportes Multifuncionales;130;;;;Soporte para Monitores;soportes-multifuncionales;;3
56;1;Rebajas y Descuentos;0;Productos reparados, RF, discontinuos y otros;OUTLET;productos descontinuos, recertificados;Productos discontinuos, Recertificados;rebajas-y-descuentos;;2
57;1;Acc. P/ Notebook, Netbook y Tablets;0;Baterias, Cargadores, Mouse, Teclados, Pendrive, Lectores de Memoria, Fundas, Hub USB;;Acc. P/ Notebook, Netbook y Tablets;;acc-p-notebook-netbook-y-tablets;Acc.-P--Notebook,-Netbook-y-Tablets1.jpg;2
58;1;ILUMINACION;0;;;;;iluminacion;;2
59;1;Servicios;0;Servicio Reparacion de Pc, Improras, Notebook, Testeo de HW;;servicios;servicios;servicios;;2
60;1;Notebook;4;;;;;notebook;;3
61;0;Netbook;4;;;;;netbook;;3
62;1;Tablet;4;;;;;tablet;;3
63;1;Smartphones;4;Celulares de Gamma Media Alta;;;;smartphones;;3
64;0;Ultrabook;4;;;;;ultrabook;;3
65;1;RAM;33;ddr/ddr2/ddr3/ddr4;;;;ram;;4
66;1;Pendrive;33;Pendrive usb 3.0/2.0;;;;pendrive;;4
67;1;SD y Micro SD;33;Memorias Flash;;;;sd-y-micro-sd;;4
68;1;Tabletas Graficadoras y Accesorios;140;Diseño de imagenes, Dibujo Profesional;;;tabletas graficas;tabletas-graficadoras-y-accesorios;;3
69;1;2 en 1;4;tablet 2 en 1;;;;2-en-1;;3
70;0;Flip Cover;52;cubre celulares, protectores y otros;Flip Cover;Flip Cover;Flip Cover;flip-cover;;4
71;0;TPU;52;Son cubre celulares de plastico rigido. Vienen en diferentes colores y diferentes modelos de celular.;TPU;TPU;celulares TPU;tpu;;4
72;0;Funda Silicona;52;Cubre celular de silicona flexible. Vienen en diferentes colores y modelos;Funda Silicona;Funda Silicona;Funda Silicona;funda-silicona;;4
73;0;Film protector;52;FILM PROTECTOR PARA CELULARES, TABLET Y SMARTPHONE.;;;FILM PROTECTOR;film-protector;;4
