IdLista;IdProducto;Importe;Porcentaje;cantidadminima
1;347;20;4610,145045;1
2;347;2;371,0145045;250
4;347;2;371,0145045;250
4;1185;2;371,0145045;250
1;1185;20;4610,145045;1
2;1185;2;371,0145045;250
1;8394;60;197,93303;1
2;8394;30;48,96651501;1
4;8394;27;34,06986351;1
1;1391;30;303,7267369;1
2;1391;12;61,49069476;1
4;1391;11;48,03313687;100
1;2646;30;283,0830524;1
2;2646;16;104,3109613;1
4;2646;13;66,00265604;1
1;2359;50;717,1570156;1
2;2359;14;128,8039644;1
4;2359;13;112,4608241;1
1;329;30;4744,721023;1
4;329;4;545,9628031;100
2;329;4;545,9628031;1
1;1459;890;151,5217454;1
2;1459;885;150,1087019;1
4;1459;885;150,1087019;1
1;3328;70;1641,426822;1
2;3328;30;646,3257808;1
1;3327;70;1641,426822;1
2;3327;30;646,3257808;1
1;5023;70;1641,426822;1
2;5023;30;646,3257808;1
1;15692;40;254,8930885;1
2;15692;23;104,0635259;1
4;15692;19;68,57421702;100
1;3548;30;139,0400153;1
2;3548;22;75,29601122;1
4;3548;18;43,42400918;1
1;586;80;5361,731989;1
2;586;45;2972,224244;1
4;586;39;2562,594345;1
1;5024;70;1641,426822;1
2;5024;30;646,3257808;1
4;632;14;41,20015472;1
2;632;15;51,28588006;1
1;632;50;404,2862669;1
1;2274;70;715,77751;1
2;2274;17;98,11739528;1
4;2274;17;98,11739528;100
1;18392;250;149,8750625;1
2;18392;170;69,91504248;1
4;18392;161;60,91954023;1
1;3052;80;385,1651428;1
2;3052;54;227,4864714;1
4;3052;47;185,0345214;1
1;18399;220;161,3447375;1
2;18399;145;72,2499406;1
4;18399;135;60,37063435;1
4;17684;93;21,28525753;1
1;17684;160;108,6628086;1
2;17684;96;25,19768519;1
1;1174;270;181,5139193;1
2;1174;133;38,67167136;1
4;1174;121;26,15994161;1
1;4047;10;56421,73913;1
2;4047;1;5552,173913;1
4;4047;1;5552,173913;1
1;18401;220;151,0555746;1
2;18401;150;71,17425539;1
4;18401;142;62,04496177;1
1;14596;80;323,7805247;1
2;14596;39;106,5930058;1
4;14596;33;74,80946642;1
2;2815;69;129,4117647;1
1;2815;120;298,9769821;1
4;2815;64;112,7877238;1
4;673;26;413,8339921;1
2;673;26;413,8339921;1
1;673;70;1283,399209;1
2;18425;57;72,10144928;1
4;18425;54;63,04347826;1
1;18425;120;262,3188406;1
1;546;120;4539,267234;1
2;546;62;2296,954737;1
4;546;45;1639,725213;1
4;13294;59;41,30834218;1
1;13294;220;426,9124624;1
2;13294;65;55,67868206;1
2;1143;9;408,6955657;1
4;1143;9;408,6955657;1
1;1143;120;6682,607543;1
1;18295;320;166,5334;1
2;18295;204;69,91504248;1
4;18295;193;60,75295685;1
1;2848;1010;1363,768116;1
1;15584;220;426,9124624;1
4;15584;59;41,30834218;1
2;15584;65;55,67868206;1
1;12974;670;63,90920017;1
2;12974;503;23,05422043;1
4;12974;492;20,36317386;1
1;7989;210;43,00680985;1
