ProCodigo;ProCodBar;ProDescripcion;ProCantidad;ProStockActual;ProPrecioCosto;ProUtilidadVEfectivo;ProUtilidadVCtaCte;ProUtilidadVLista;ProPrecioNeto;ProIVA;ProPreEfectivo;ProPreLista;ProPreCtaCte;ProCantMinima;ProFecha;ProPerfil;ProSAsociado;ProBaja;ProGarantia;ProStockService;ProStockFallado;ProStockProveedor;ProFechaUActualizacion;ProGarantiaFabrica;ProGarantiaCompra;ProExigeSerie;Categoria;EnOferta;ImporteDescuento;PorcentajeDescuento;DescuentoDesde;DescuentoHasta;DisponiblePedidos;EsBundle;costodolares;cotizacion;dolarblue
347;Sin Codigo;BOLSA CD C/ADHESIVO  13X14CM -CHICA-;2500;130194;0,350921797;197,3;89,19;275;0,424615374;21;0,11;1,5;0,07;100;2011-09-02;CV;1;0;2;0;1;0;2019-11-14;1;1;0;47;0;0;0;2019-11-14;2019-11-14;1;0;0,006153846;65;0
1185;Sin Codigo;BOLSA DVD C/ADHESIVO 13.8X14CM;5;92577;0,350921797;155,81;60;400;0,424615374;21;0,11;2;0,07;100;2011-04-07;CV;1;0;2;0;0;0;2019-12-13;1;1;0;47;0;0;0;2019-12-12;2019-12-12;0;0;0,006153846;65;0
8394;Sin Codigo;CLIP DE RECARGA;1000;19900;16,64359835;0;0;145,9;20,138754;21;0;30;0;1;2015-03-18;CV;1;0;2;0;0;0;2019-11-20;0;0;0;6;0;0;0;2017-11-09;2017-12-31;1;0;0,291866;41,8;0
1391;Sin Codigo;DVD MEMOREX ESTAMPADO 16X;12;14126;6,141131157;55,56;25,56;100;7,4307687;21;1,4;14;1,13;1;2008-12-19;CV;1;0;2;0;0;0;2019-12-13;1;1;0;50;0;0;0;2019-12-12;2019-12-12;1;0;0,1076923;65;0
2646;Sin Codigo;CABLE UTP NOGANET CAT 5 INTERIOR X METRO;0;7458;6,47;143,2;57,37;206,47;7,8312;21;1,7;24;1,1;305;2011-06-15;CV;1;0;2;0;0;0;2020-05-05;1;1;0;82,109;0;0;0;2017-11-10;2017-11-18;1;0;0,1118743;70;0
2359;Sin Codigo;FICHA RJ45 CAT 5E ANBYTE;2;6812;5,056838926;41,79;30;184,89;6,1187751;21;9,5;12;8,71;2;2007-11-12;CV;1;0;2;0;0;0;2019-06-05;1;1;0;110;0;0;0;2019-06-05;2019-06-05;1;0;0,0886779;47,5;0
329;Sin Codigo;SOBRES PARA CD Y DVD DE PAPEL CON VENTANA;2;6259;0,511760911;263,64;40;259,45;0,619230702;21;0,2;2;0,08;500;2010-08-03;CV;1;0;2;0;0;0;2019-09-21;1;1;0;46;0;0;0;2017-11-09;2017-11-18;1;0;0,008974358;39;0
1459;Sin Codigo;FLETE DESTINO;10;3345;292,4348306;0;0;150;353,846145;21;0;500;0;0;2011-07-18;CV;1;0;2;0;2;0;2020-02-18;1;1;0;59;0;0;0;2020-02-18;2020-02-18;0;0;5,128205;39;0
3328;Sin Codigo;CD IPC CAJA ACRILICA EASY 700MB 80MIN;0;2753;3,322059758;54,05;25;164,08;4,019692308;21;3,5;6;2,84;0;2009-04-15;CV;1;0;2;0;0;0;2014-01-27;1;1;0;49;0;0;0;2015-06-24;2015-06-24;0;0;0,05825641;39;0
3327;Sin Codigo;CD IPC CAJA ACRILICA FOTO 700MB 80MIN;0;2716;3,322059758;65,05;30;164,08;4,019692308;21;3,75;6;2,95;0;2009-04-15;CV;1;0;2;0;0;0;2014-01-27;1;1;0;49;0;0;0;2015-06-24;2015-06-24;0;0;0,05825641;39;0
